sasdate,Business_Confidence
1959-03-01,102.4764
1959-06-01,103.1942
1959-09-01,101.5276
1959-12-01,99.43076
1960-03-01,100.8122
1960-06-01,98.34532
1960-09-01,98.10502
1960-12-01,98.27567
1961-03-01,97.99186
1961-06-01,100.3685
1961-09-01,101.4186
1961-12-01,101.9188
1962-03-01,101.9074
1962-06-01,100.5918
1962-09-01,99.35147
1962-12-01,99.69437
1963-03-01,100.5271
1963-06-01,100.9282
1963-09-01,100.7595
1963-12-01,100.8103
1964-03-01,100.814
1964-06-01,101.3583
1964-09-01,101.9807
1964-12-01,101.9469
1965-03-01,101.958
1965-06-01,102.0199
1965-09-01,101.1964
1965-12-01,101.4066
1966-03-01,102.571
1966-06-01,102.1655
1966-09-01,101.3583
1966-12-01,100.7707
1967-03-01,99.1675
1967-06-01,97.98158
1967-09-01,99.17026
1967-12-01,100.2962
1968-03-01,100.5644
1968-06-01,100.6037
1968-09-01,100.0735
1968-12-01,100.4339
1969-03-01,100.6786
1969-06-01,100.6601
1969-09-01,100.2861
1969-12-01,100.1975
1970-03-01,99.13381
1970-06-01,98.54208
1970-09-01,99.02814
1970-12-01,97.63667
1971-03-01,98.93892
1971-06-01,100.166
1971-09-01,100.2194
1971-12-01,100.2768
1972-03-01,101.2576
1972-06-01,101.5077
1972-09-01,101.6118
1972-12-01,103.1135
1973-03-01,103.9897
1973-06-01,103.1531
1973-09-01,101.8266
1973-12-01,102.7437
1974-03-01,102.0375
1974-06-01,101.2782
1974-09-01,100.1933
1974-12-01,97.5507
1975-03-01,95.21018
1975-06-01,96.4127
1975-09-01,98.85281
1975-12-01,100.3649
1976-03-01,101.1438
1976-06-01,101.4759
1976-09-01,100.6592
1976-12-01,100.0165
1977-03-01,100.4611
1977-06-01,101.0473
1977-09-01,100.7781
1977-12-01,100.5197
1978-03-01,100.9042
1978-06-01,101.0108
1978-09-01,101.7815
1978-12-01,101.6338
1979-03-01,101.273
1979-06-01,100.6405
1979-09-01,99.58414
1979-12-01,98.98106
1980-03-01,98.63973
1980-06-01,96.39306
1980-09-01,96.31772
1980-12-01,100.2614
1981-03-01,99.52334
1981-06-01,99.57989
1981-09-01,98.95316
1981-12-01,97.07864
1982-03-01,96.55954
1982-06-01,96.44176
1982-09-01,96.64937
1982-12-01,96.88499
1983-03-01,98.67935
1983-06-01,100.4148
1983-09-01,101.8357
1983-12-01,102.6253
1984-03-01,102.2512
1984-06-01,101.4607
1984-09-01,100.5303
1984-12-01,99.42143
1985-03-01,99.31237
1985-06-01,98.83031
1985-09-01,98.81878
1985-12-01,99.45355
1986-03-01,99.55298
1986-06-01,99.50909
1986-09-01,99.38786
1986-12-01,99.62189
1987-03-01,99.96214
1987-06-01,100.566
1987-09-01,101.1111
1987-12-01,101.5627
1988-03-01,101.0383
1988-06-01,100.5667
1988-09-01,100.9557
1988-12-01,100.5104
1989-03-01,100.3663
1989-06-01,99.55042
1989-09-01,98.4511
1989-12-01,98.49142
1990-03-01,98.84007
1990-06-01,99.27363
1990-09-01,98.69599
1990-12-01,97.74461
1991-03-01,96.98627
1991-06-01,97.71007
1991-09-01,99.57745
1991-12-01,99.78638
1992-03-01,99.08235
1992-06-01,100.1842
1992-09-01,100.072
1992-12-01,99.61826
1993-03-01,100.4158
1993-06-01,99.64385
1993-09-01,99.31612
1993-12-01,99.92348
1994-03-01,100.6266
1994-06-01,100.9756
1994-09-01,101.1943
1994-12-01,101.3034
1995-03-01,100.7331
1995-06-01,99.3696
1995-09-01,98.88581
1995-12-01,98.59842
1996-03-01,98.35429
1996-06-01,99.02459
1996-09-01,99.54897
1996-12-01,99.66949
1997-03-01,100.1569
1997-06-01,100.2638
1997-09-01,100.7132
1997-12-01,100.5412
1998-03-01,100.168
1998-06-01,99.70374
1998-09-01,99.12228
1998-12-01,98.93167
1999-03-01,99.26283
1999-06-01,99.97905
1999-09-01,100.3479
1999-12-01,100.9177
2000-03-01,100.8203
2000-06-01,100.2418
2000-09-01,99.64262
2000-12-01,98.99216
2001-03-01,97.61955
2001-06-01,97.61222
2001-09-01,98.26812
2001-12-01,98.00449
2002-03-01,99.19193
2002-06-01,100.4177
2002-09-01,99.86237
2002-12-01,99.3919
2003-03-01,99.59014
2003-06-01,98.78769
2003-09-01,99.83215
2003-12-01,101.0288
2004-03-01,102.1245
2004-06-01,102.1357
2004-09-01,101.7197
2004-12-01,100.9512
2005-03-01,100.7657
2005-06-01,100.1265
2005-09-01,100.3859
2005-12-01,100.9515
2006-03-01,100.4687
2006-06-01,100.3417
2006-09-01,100.0131
2006-12-01,99.5473
2007-03-01,99.37651
2007-06-01,99.8139
2007-09-01,99.80985
2007-12-01,99.34984
2008-03-01,99.14648
2008-06-01,99.09488
2008-09-01,99.25018
2008-12-01,96.9883
2009-03-01,95.84841
2009-06-01,97.07259
2009-09-01,99.08738
2009-12-01,100.2206
2010-03-01,100.9102
2010-06-01,101.2882
2010-09-01,100.4711
2010-12-01,100.7933
2011-03-01,101.3808
2011-06-01,101.0712
2011-09-01,100.0983
2011-12-01,99.69537
2012-03-01,99.97056
2012-06-01,100.1078
2012-09-01,99.46161
2012-12-01,99.35607
2013-03-01,99.78916
2013-06-01,99.59228
2013-09-01,100.1087
2013-12-01,100.56
2014-03-01,100.2135
2014-06-01,100.4653
2014-09-01,100.675
2014-12-01,100.8484
2015-03-01,100.2155
2015-06-01,99.81592
2015-09-01,99.73315
2015-12-01,99.12215
2016-03-01,98.99793
2016-06-01,99.59158
2016-09-01,99.69059
2016-12-01,99.7523
2017-03-01,100.6365
2017-06-01,100.5944
2017-09-01,100.9442
2017-12-01,101.3405
2018-03-01,101.4167
2018-06-01,101.1971
2018-09-01,101.4123
2018-12-01,101.2164
2019-03-01,100.5406
2019-06-01,100.0253
2019-09-01,99.42245
2019-12-01,98.87376
2020-03-01,99.16772
2020-06-01,98.19869
2020-09-01,99.96201
2020-12-01,100.998
2021-03-01,101.5562
2021-06-01,101.9507
2021-09-01,101.5996
2021-12-01,101.5949
2022-03-01,101.1374
2022-06-01,100.6685
2022-09-01,99.95982
2022-12-01,99.32958
2023-03-01,98.78597
2023-06-01,98.57074
2023-09-01,98.61196
2023-12-01,98.69787
2024-03-01,98.89082
2024-06-01,99.05533
2024-09-01,98.74606
2024-12-01,98.73737
2025-03-01,99.44798
